34P	6!n3!a15d	(Date)(Currency)(Amount)
34R	6!n3!a15d	(Date)(Currency)(Amount)
35A	3!a15d	(Type)(Quantity)
35B	[ISIN 12!c][4*35x]	(IdentificationOfSecurity)(DescriptionOfSecurity)
36	12d	(Rate)
36A	12d	(Rate)
36B	:4!c//4!c/15d	(Qualifier)(QuantityTypeCode)(Quantity)
36C	:4!c//4!c	(Qualifier)(QuantityCode)
36E	:4!c//4!c/[N]15d	(Qualifier)(QuantityTypeCode)(Sign)(Quantity)
37G	[N]12d	(Sign)(Rate)
37J	12d	(Rate)
37K	3!a12d	(Currency)(Rate)
37L	12d	(Rate)
37M	[N]12d	(Sign)(Rate)
37N	6*35x	(Narrative)
37P	12d	(Rate)
37R	[N]12d	(Sign)(Rate)
37U	12d	(Rate)
37V	[N]12d	(Sign)(Rate)
38A	3n	(Rate)
38D	4n	(Period)
38E	2n1!a	(Number)(Period)
38G	2n1!a/2n1!a	(NumberFrom)(PeriodFrom)(NumberTo)(PeriodTo)
38H	2n1!a/2n1!a	(NumberFrom)(PeriodFrom)(NumberTo)(PeriodTo)
38J	1!a3!n	(Indicator)(Number)
39M	2!a	(CountryCode)
39P	4!c/3!a15d	(Type)(Currency)(Amount)
50	4*35x	(NameAndAddress)
50A	[/34x\n]11c	(Account)(BIC)
50C	11c	(BIC)
50F	35x 4*35x	(PartyIdentifier)(NameAndAddress)
50G	/34x 11c	(Account)(BEI)
50H	/34x 4*35x	(Account)(NameAndAddress)
50K	[/34x\n]4*35x	(Account)(NameAndAddress)
50L	35x	(PartyIdentifier)
51A	[/36x\n]11c	(PartyIdentifier)(BIC)
52A	[/36x\n]11c	(PartyIdentifier)(BIC)
52C	/34x	(PartyIdentifier)
52D	[/36x\n]4*35x	(PartyIdentifier)(NameAndAddress)
53A	[/36x\n]11c	(PartyIdentifier)(BIC)
53B	[/36x][35x]	(PartyIdentifier)(Location)
53D	[/36x\n]4*35x	(PartyIdentifier)(NameAndAddress)
53J	5*40x	(PartyIdentifier)
54A	[/36x\n]11c	(PartyIdentifier)(BIC)
54B	[/36x\n][35x]	(PartyIdentifier)(Location)
54D	[/36x\n]4*35x	(PartyIdentifier)(NameAndAddress)
55A	[/36x\n]11c	(PartyIdentifier)(BIC)
55B	[/36x][35x]	(PartyIdentifier)(Location)
55D	[/36x\n]4*35x	(PartyIdentifier)(NameAndAddress)
56A	[/36x\n]11c	(PartyIdentifier)(BIC)
56C	/34x	(PartyIdentifier)
56D	[/36x\n]4*35x	(PartyIdentifier)(NameAndAddress)
56J	5*40x	(PartyIdentifier)
57A	[/36x\n]11c	(PartyIdentifier)(BIC)
